,spearman,spearmanp,perturbation,index,network,p,threshold_number,pruning,spearman_mean_across_methods,spearman_improvement,noPredictionMade,somePredictionRefused
15,0.2111781736174585,1.2569270218900443e-27,CEBPB,0,encodeDNase,0.001,2000,harsh,0.2107230044441664,0.00045516917329210815,False,False
16,0.23200412525992103,3.7696155526890314e-33,CEBPD,0,encodeDNase,0.001,2000,harsh,0.23200457228306204,-4.4702314100364404e-07,False,False
17,0.2626211685384165,2.571035932420617e-42,CREB1,0,encodeDNase,0.001,2000,harsh,0.2625944848771627,2.6683661253801283e-05,False,False
18,0.2322259813103733,3.2689264233158164e-33,CUX1,0,encodeDNase,0.001,2000,harsh,0.23219544731508227,3.053399529104328e-05,False,False
19,0.18300814368849574,4.8626457582123894e-21,DLX2,0,encodeDNase,0.001,2000,harsh,0.1525047551417581,0.030503388546737648,True,True
20,0.17559974675496456,1.7979973186381142e-19,DLX5,0,encodeDNase,0.001,2000,harsh,0.17560539107103343,-5.644316068864619e-06,False,False
21,0.17920885839898293,3.1579239014738e-20,DMRT1,0,encodeDNase,0.001,2000,harsh,0.17920615318590324,2.705213079684521e-06,False,False
22,0.17872158024265497,4.00243663286176e-20,E2F1,0,encodeDNase,0.001,2000,harsh,0.178562307844617,0.00015927239803797955,False,False
23,0.20941045368337033,3.4853702327050084e-27,E2F4,0,encodeDNase,0.001,2000,harsh,0.21031592074296376,-0.0009054670595934344,False,False
24,0.025876362763029508,0.18690559532766343,E2F6,0,encodeDNase,0.001,2000,harsh,0.025775779728434894,0.00010058303459461321,False,False
25,0.04542666693262274,0.0204637922323236,E2F7,0,encodeDNase,0.001,2000,harsh,0.04527082126612941,0.00015584566649332748,False,False
26,0.38404786036076805,3.032718876082385e-92,EBF1,0,encodeDNase,0.001,2000,harsh,0.384126008553264,-7.814819249596372e-05,False,False
27,0.19206989599757254,4.7491884065825013e-23,EGR1,0,encodeDNase,0.001,2000,harsh,0.19287174014001693,-0.0008018441424443856,False,False
28,0.28741863626522574,1.0858850411748437e-50,EGR2,0,encodeDNase,0.001,2000,harsh,0.28751505620536816,-9.641994014242261e-05,False,False
29,0.0,1.0,EHF,0,encodeDNase,0.001,2000,harsh,0.21346126968682114,-0.21346126968682114,True,True
30,0.19339228233314135,2.369715691163241e-23,ELF1,0,encodeDNase,0.001,2000,harsh,0.19339128546661874,9.968665226067763e-07,False,False
31,0.0,1.0,ELF2,0,encodeDNase,0.001,2000,harsh,0.05356784125392974,-0.05356784125392974,True,True
32,0.1138544359016614,5.712366536026853e-09,ELK1,0,encodeDNase,0.001,2000,harsh,0.1139843394910703,-0.00012990358940889735,False,False
33,0.12284071306779638,3.2137101725218437e-10,EN1,0,encodeDNase,0.001,2000,harsh,0.12284143147678313,-7.184089867440235e-07,False,False
34,0.1584873630692623,4.169508974518736e-16,EOMES,0,encodeDNase,0.001,2000,harsh,0.15857066218043317,-8.32991111708592e-05,False,False
35,0.0,1.0,ERG,0,encodeDNase,0.001,2000,harsh,0.1645558468385906,-0.1645558468385906,True,True
36,0.0,1.0,ESR1,0,encodeDNase,0.001,2000,harsh,0.19195260309604614,-0.19195260309604614,True,True
37,0.07275621571306894,0.00020309553547509708,ESRRA,0,encodeDNase,0.001,2000,harsh,0.07288055832573204,-0.00012434261266310032,False,False
38,0.17734128702224153,7.803392686992592e-20,ESRRB,0,encodeDNase,0.001,2000,harsh,0.17733761848494234,3.6685372991895893e-06,False,False
39,0.23495286560379236,5.6021414823156635e-34,ESX1,0,encodeDNase,0.001,2000,harsh,0.23495358762644783,-7.220226554693898e-07,False,False
40,0.2371104442081042,1.3653406537337508e-34,ETS1,0,encodeDNase,0.001,2000,harsh,0.2370467315732853,6.37126348189132e-05,False,False
41,0.2176513790606387,2.773370214988879e-29,ETS2,0,encodeDNase,0.001,2000,harsh,0.2164241339940934,0.001227245066545285,False,False
42,0.15850359311802925,4.140578878930525e-16,EVX1,0,encodeDNase,0.001,2000,harsh,0.10566847263367275,0.0528351204843565,True,True
43,0.2746392213019222,2.88579455697601e-46,FLI1,0,encodeDNase,0.001,2000,harsh,0.27464021637505603,-9.950731338359553e-07,False,False
44,0.12806563489130127,5.462996411965866e-11,FOS,0,encodeDNase,0.001,2000,harsh,0.1287054449508008,-0.0006398100594995348,False,False
45,0.14467574600036906,1.1997922608556345e-13,FOSL1,0,encodeDNase,0.001,2000,harsh,0.14505163136783983,-0.0003758853674707685,False,False
46,0.08435033275160247,1.6389462362716397e-05,FOSL2,0,encodeDNase,0.001,2000,harsh,0.08435734324142112,-7.010489818645715e-06,False,False
47,0.2660828075837125,1.963938280812571e-43,FOXA1,0,encodeDNase,0.001,2000,harsh,0.26607032286760696,1.2484716105543026e-05,False,False
48,0.24086945369331325,1.1277917836950401e-35,FOXA2,0,encodeDNase,0.001,2000,harsh,0.24099831871139768,-0.00012886501808442863,False,False
49,0.18654503734430708,8.211171985590083e-22,FOXC1,0,encodeDNase,0.001,2000,harsh,0.18644489340041948,0.00010014394388760395,False,False
50,0.15082746476377784,1.0279258237924607e-14,FOXD1,0,encodeDNase,0.001,2000,harsh,0.15083042871868604,-2.9639549082027816e-06,False,False
51,0.14887478475199434,2.2676115025844418e-14,FOXD3,0,encodeDNase,0.001,2000,harsh,0.14866524565976577,0.0002095390922285667,False,False
52,0.19312821971579033,2.723712548434731e-23,FOXF1,0,encodeDNase,0.001,2000,harsh,0.19312461708366443,3.6026321258986194e-06,False,False
53,0.16741023892582732,8.122711702338393e-18,FOXG1,0,encodeDNase,0.001,2000,harsh,0.16740673334884001,3.505576987306025e-06,False,False
54,0.09367396481618778,1.6892001900206194e-06,FOXH1,0,encodeDNase,0.001,2000,harsh,0.09350091759993305,0.00017304721625473196,False,False
55,0.26796100816640755,4.787320336258833e-44,FOXJ1,0,encodeDNase,0.001,2000,harsh,0.26792797271594315,3.3035450464402594e-05,False,False
56,0.2493947250774412,3.354906944304837e-38,FOXM1,0,encodeDNase,0.001,2000,harsh,0.24933816974684594,5.65553305952593e-05,False,False
57,0.1691613415464685,3.653575494906376e-18,FOXO3,0,encodeDNase,0.001,2000,harsh,0.16928533800917547,-0.00012399646270697118,False,False
58,0.2672645434170111,8.090775927903949e-44,FOXP1,0,encodeDNase,0.001,2000,harsh,0.26727804043049525,-1.3497013484131681e-05,False,False
59,0.19939299269309493,9.484856791503475e-25,FOXP3,0,encodeDNase,0.001,2000,harsh,0.19938949239476547,3.5002983294618595e-06,False,False
60,0.12942338367050465,3.406097093925941e-11,GABPA,0,encodeDNase,0.001,2000,harsh,0.12947012930490412,-4.674563439946433e-05,False,False
61,0.0,1.0,GATA1,0,encodeDNase,0.001,2000,harsh,0.09627194228636987,-0.09627194228636987,True,True
62,0.10534234242659707,7.166855411093057e-08,GATA2,0,encodeDNase,0.001,2000,harsh,0.10532966903220363,1.2673394393439286e-05,False,False
63,0.1792497078404122,3.095709235060682e-20,GATA3,0,encodeDNase,0.001,2000,harsh,0.17927470643303225,-2.4998592620062432e-05,False,False
64,0.16414739983615276,3.518072617900523e-17,GATA6,0,encodeDNase,0.001,2000,harsh,0.1094370223073906,0.054710377528762164,True,True
65,0.09573018271586024,9.93049735831832e-07,GBX2,0,encodeDNase,0.001,2000,harsh,0.09638400171771964,-0.0006538190018594014,False,False
66,0.31782977513035304,3.5094188705882685e-62,GLI1,0,encodeDNase,0.001,2000,harsh,0.3177654141577076,6.436097264544971e-05,False,False
67,0.21534251766490928,1.0964214553371477e-28,HES1,0,encodeDNase,0.001,2000,harsh,0.2152604280107224,8.208965418687875e-05,False,False
68,0.1997331066145336,7.878681090577671e-25,HMGA2,0,encodeDNase,0.001,2000,harsh,0.1995159986791192,0.00021710793541440676,False,False
69,0.0,1.0,HNF1A,0,encodeDNase,0.001,2000,harsh,0.09268779854531724,-0.09268779854531724,True,True
70,0.0,1.0,HNF4A,0,encodeDNase,0.001,2000,harsh,0.07545668005945995,-0.07545668005945995,True,True
71,0.03113677423457553,0.11223932972828508,HOXA10,0,encodeDNase,0.001,2000,harsh,0.03149564206328719,-0.0003588678287116606,False,False
72,0.0,1.0,HOXA2,0,encodeDNase,0.001,2000,harsh,0.09975575449151873,-0.09975575449151873,True,True
73,0.009248186675966556,0.6371964255953217,HOXA3,0,encodeDNase,0.001,2000,harsh,0.0061661428241757505,0.003082043851790805,True,True
74,0.11669949155208649,2.350601245742751e-09,HOXA9,0,encodeDNase,0.001,2000,harsh,0.11669637590349285,3.115648593635112e-06,False,False
75,0.16624022113177542,1.3786844840952797e-17,HOXB1,0,encodeDNase,0.001,2000,harsh,0.166242098082479,-1.87695070358318e-06,False,False
76,0.10985494355596775,1.919801143981691e-08,HOXB3,0,encodeDNase,0.001,2000,harsh,0.07323705104105983,0.03661789251490792,True,True
77,0.15305061696822048,4.1231177548029515e-15,HOXB4,0,encodeDNase,0.001,2000,harsh,0.15305008111041854,5.358578019365456e-07,False,False
78,0.18802651202282092,3.8568278414276346e-22,HOXC9,0,encodeDNase,0.001,2000,harsh,0.18802506138420827,1.4506386126489357e-06,False,False
79,0.1786961295718779,4.052211609698812e-20,HOXD13,0,encodeDNase,0.001,2000,harsh,0.17869283812047676,3.291451401127299e-06,False,False
80,0.0,1.0,HOXD3,0,encodeDNase,0.001,2000,harsh,0.15739794029404547,-0.15739794029404547,True,True
81,0.18801293850121267,3.8837337189648615e-22,HSF1,0,encodeDNase,0.001,2000,harsh,0.18816509808293788,-0.0001521595817252086,False,False
82,0.2801840714428452,3.708756804484907e-48,IKZF1,0,encodeDNase,0.001,2000,harsh,0.28018362411096237,4.4733188281353975e-07,False,False
83,0.24840227575755347,6.681162246481685e-38,IRF1,0,encodeDNase,0.001,2000,harsh,0.2483475459862051,5.472977134837742e-05,False,False
84,0.10323326114608775,1.3024702169419092e-07,IRF2,0,encodeDNase,0.001,2000,harsh,0.10320381962682708,2.9441519260667293e-05,False,False
85,0.11922179372817401,1.0507777832884602e-09,IRF3,0,encodeDNase,0.001,2000,harsh,0.11918263503013372,3.915869804028971e-05,False,False
86,0.0,1.0,IRF4,0,encodeDNase,0.001,2000,harsh,0.1275989037738037,-0.1275989037738037,True,True
87,0.0,1.0,IRF5,0,encodeDNase,0.001,2000,harsh,0.11761141081296463,-0.11761141081296463,True,True
88,0.12704630055553343,7.763476484818585e-11,IRX2,0,encodeDNase,0.001,2000,harsh,0.1264492824891876,0.0005970180663458224,False,False
89,0.20637014706144743,1.971097028169941e-26,JUN,0,encodeDNase,0.001,2000,harsh,0.20682679528477202,-0.000456648223324585,False,False
90,0.19376256140857773,1.9487787623960737e-23,JUNB,0,encodeDNase,0.001,2000,harsh,0.19394832978682253,-0.00018576837824479941,False,False
