"","perturbation","prediction_timescale","matching_method","lit_review","GM","ME","is_outlier"
"140","Stat1",10,"closest","GM & ME, stemness",1357.02962914298,-164.882263325367,TRUE
"141","Stat1",10,"optimal_transport","GM & ME, stemness",975.19432607266,-154.580469422211,TRUE
"142","Stat1",10,"random","GM & ME, stemness",51.3090498284153,224.086519258756,TRUE
"143","Stat1",10,"steady_state","GM & ME, stemness",-1730.72268142152,-1.42669454713651e-11,TRUE
"144","Stat1",10,"user","GM & ME, stemness",-1511.33654516358,-542.902991842454,TRUE
"145","Stat3",10,"closest","GM & ME, stemness",5292.65264579526,0,TRUE
"146","Stat3",10,"optimal_transport","GM & ME, stemness",3212.72755012241,-179.936962630367,TRUE
"147","Stat3",10,"random","GM & ME, stemness",-2956.70102517499,0,TRUE
"148","Stat3",10,"steady_state","GM & ME, stemness",466.960232391497,-682.37194209987,TRUE
"149","Stat3",10,"user","GM & ME, stemness",1732.84500460031,-831.470946649993,TRUE
