,spearman,spearmanp,cell_fate_correct,perturbation,index,network,p,threshold_number,pruning,somePredictionRefused
122,0.27440529218997034,3.4600771295085902e-46,0.0,MEF2C,0,dense,0.001,2000,harsh,True
123,0.0,1.0,,MEIS1,0,dense,0.001,2000,harsh,True
124,0.0,1.0,,MEIS2,0,dense,0.001,2000,harsh,True
125,0.0,1.0,,MKRN1,0,dense,0.001,2000,harsh,True
126,0.12517427622082392,1.4696401349393447e-10,0.0,MNX1,0,dense,0.001,2000,harsh,True
127,0.206089381271632,2.3099402993177734e-26,0.0,MSC,0,dense,0.001,2000,harsh,True
128,0.17548083070901013,1.9028559617219035e-19,0.0,MSX2,0,dense,0.001,2000,harsh,False
129,-0.12721135152138524,7.335421287369916e-11,0.0,MXI1,0,dense,0.001,2000,harsh,True
130,0.15065558140552365,1.1025286397326984e-14,1.0,MYB,0,dense,0.001,2000,harsh,False
131,0.15189933144825762,6.628522485466994e-15,0.0,MYBL2,0,dense,0.001,2000,harsh,False
132,0.24675646084272163,2.0798757406255658e-37,1.0,MYC,0,dense,0.001,2000,harsh,False
133,0.31673760057794403,9.593458770958939e-62,0.0,MYF5,0,dense,0.001,2000,harsh,True
134,0.24202508505670886,5.1937305353420434e-36,0.0,MYF6,0,dense,0.001,2000,harsh,True
135,0.3730454492705807,9.688680496431637e-87,0.0,MYOD1,0,dense,0.001,2000,harsh,True
136,0.13459678468427588,5.379942565441434e-12,0.0,NANOG,0,dense,0.001,2000,harsh,False
137,0.29840557265609874,1.1041578566103046e-54,0.0,NEUROD1,0,dense,0.001,2000,harsh,True
138,0.2623238273976966,3.200927920347489e-42,0.0,NEUROD2,0,dense,0.001,2000,harsh,True
139,0.0,1.0,,NEUROD6,0,dense,0.001,2000,harsh,True
140,0.31517729642720255,4.006300670504334e-61,0.0,NEUROG1,0,dense,0.001,2000,harsh,True
141,0.17014016101431637,2.3288311249406374e-18,0.0,NFATC1,0,dense,0.001,2000,harsh,True
142,0.15348386290851654,3.4452665511892945e-15,1.0,NFE2L1,0,dense,0.001,2000,harsh,True
143,0.17602038784185087,1.4708645811637603e-19,0.0,NFIB,0,dense,0.001,2000,harsh,True
144,0.0,1.0,,NFIC,0,dense,0.001,2000,harsh,True
145,0.0,1.0,,NFIL3,0,dense,0.001,2000,harsh,True
146,0.11709878696553197,2.0716295224667855e-09,0.0,NKX2-1,0,dense,0.001,2000,harsh,True
147,0.1476757930756192,3.666931604337709e-14,0.0,NKX2-2,0,dense,0.001,2000,harsh,True
148,0.19838186869154223,1.6432963504261206e-24,0.0,NKX2-5,0,dense,0.001,2000,harsh,True
149,0.0,1.0,,NKX6-2,0,dense,0.001,2000,harsh,True
150,0.1796478293905049,2.5493640017268115e-20,0.0,NPAS2,0,dense,0.001,2000,harsh,True
151,0.0,1.0,,NR1D2,0,dense,0.001,2000,harsh,True
152,0.16605068196224776,1.501514493383518e-17,0.0,NR2E1,0,dense,0.001,2000,harsh,True
